"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)",CPMr,ROAS,"3-second video plays rate per impressions","Ad set name","Ad ID","Ad Efficiency Index","Campaign name","Ad set ID"
2026-06-30,2026-07-06,"NOBL-INH-2-00058-SummerSaleStatics2 - D2",archived,-,,,0,0,,50000,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,,,"usa -  ASC+ - tROAS Ad set",120229604077050007,,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,NOBL-INH-1-00359-US-DuoCarryScam-MR-V1B,not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,,,"usa - tof - duo",120229801505840007,,"usa - tof - duo",120229801504420007
2026-06-30,2026-07-06,"000DUO - 001NYS - 002Gatekeeping - 003RemovableSideBag Foundthesecret - 004GRN - 005US - 006TGT - 007VO - 008TOF - 009V2A - 01060s - 011FAI - 012YWO - 013USA - 014CL - 0150625",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,,,"usa - tof - duo",120229801676970007,,"usa - tof - duo",120229801504420007
2026-06-30,2026-07-06,NOBL-INH-1-00378-US-EventDriven-Expand-HawaiiTrip-MR-V1A,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,,,"usa - tof - expandable",120230305016970007,,"usa - tof - expandable",120230303550760007
2026-06-30,2026-07-06,NOBL-INH-1-00395-US-EventDriven-Expand-Speechless-MR_V1A,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,,,"usa - tof - expandable",120230305406430007,,"usa - tof - expandable",120230303550760007
2026-06-30,2026-07-06,NOBL-INH-1-00395-US-EventDriven-Expand-Speechless-MR_V1B,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,,,"usa - tof - expandable",120230305924610007,,"usa - tof - expandable",120230303550760007
2026-06-30,2026-07-06,"NOBL-INH-2-00315-Summersale-winner - V6A",archived,"7-day click",,,0,0,,50000,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,,,"usa -  ASC+ - tROAS Ad set",120231777527160007,,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"000AIO - 001NYS - 002LuggageNightmare - 004PK - 005US - 006ValueSeeker -  - 008ToF - 009V1B -  - 011FAI -  - United States - 014CL - 2025-07-02",active,"7-day click",,,1,1,,50000,Daily,0.01,Ongoing,-,-,-,1,10,,,,,0,0,0,,,10,0,,"usa -  ASC+ - tROAS Ad set",120232445196210007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"NOBL-Winner Design- 2 - D13",active,"7-day click",21,actions:offsite_conversion.fb_pixel_purchase,23527,1.762018,146.31190476,50000,Daily,3072.55,Ongoing,Average,-,-,41455,74.117718,713,,4.309327,1.719937,911,2.197564,3.372722,821,3.742448,130.59676117,3.10637418,,"usa -  ASC+ - tROAS Ad set",120233024768190007,23.78599711,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"000EXP - 001NYS - 002Hawaii - 004PK - 005US - 006EventDriven - 007DEMO - 008ToF - 009V3 - 01030s - 011FAI - 012YAWO - United States - 014CL - 0150731",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,,,"usa - tof - expandable",120233497080850007,,"usa - tof - expandable",120230303550760007
2026-06-30,2026-07-06,"001NYS - 002Franz - 0030903_TOF1_V1_AIOCarryOn_Evergreen - 004PK - 005US - 006MaleTravelerRegularDad - 007VO - 00830s - 009MAI - 010V7 - 011AMA - 012ENG",not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,,,"usa - tof - expandable",120236199822960007,,"usa - tof - expandable",120230303550760007
2026-06-30,2026-07-06,"001NYS - 002Grace - 003091525_Iteration_MOF1_v1_AIO_Evergreen - 004WHT - 005US - 006SavvyTraveler - 007DEMO - 00840s - 009FAI - 010V3 - 011YAWO - 012ENG - 002GW",active,"7-day click",,,7,1,,50000,Daily,1.29,Ongoing,-,-,-,7,184.285714,,,,,0,0,0,,,184.28571429,0,57.142857,"usa -  ASC+ - tROAS Ad set",120237253446500007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"102725_IGotJealousTOF3_V1_AIO_Evergreen - 001NYS - 002LK - 003102725_IGotJealousTOF3_V1_AIO_Evergreen - 004WHT - 005US - 006SavvyTraveler - 007DEMO - 00840s - 009FAI - 010V4 - 011YAWO - 012ENG",active,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,9303,1.201225,149.555,"Using campaign budget",0,299.11,Ongoing,Average,Average,Average,11175,26.765996,230,,1.300478,2.058166,357,3.194631,0.837843,192,1.557865,32.15199398,2.92009629,24.017897,"scaling - all - @nobl",120238254886030007,90.8216233,"usa - tof - all",120203688948410007
2026-06-30,2026-07-06,"J8v1_102725_CluelessGuyTOF1_v1_AIO_Evergreen - 001NYS - 002FA - 003102725_CluelessGuyTOF1_v1_AIO_Evergreen - 004MULTI - 005US - 006SavvyTraveler - 007DEMO - 00830s - 009MAI - 010V1 - 011AMA - 012ENG",active,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,26360,1.110774,410.30333333,"Using campaign budget",0,1230.91,Ongoing,Average,Average,"Below average - Bottom 20% of ads",29280,42.039276,572,,2.151941,1.953552,1410,4.815574,0.872986,421,2.923777,46.6961305,0.97655393,57.872268,"scaling - all - @nobl",120238254886040007,20.91295191,"usa - tof - all",120203688948410007
2026-06-30,2026-07-06,"J8v1_102725_CluelessGuyTOF1_v1_AIO_Evergreen - 001NYS - 002FA - 003102725_CluelessGuyTOF1_v1_AIO_Evergreen - 004MULTI - 005US - 006SavvyTraveler - 007DEMO - 00830s - 009MAI - 010V1 - 011AMA - 012ENG",active,"7-day click",1,actions:offsite_conversion.fb_pixel_purchase,4225,1.271006,169.46,50000,Daily,169.46,Ongoing,Average,-,-,5370,31.556797,90,,1.882889,1.675978,246,4.581006,0.688862,81,2.092099,40.10887574,1.85040718,53.20298,"usa -  ASC+ - tROAS Ad set",120238316376760007,46.13460591,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"102725_IGotJealousTOF3_V1_AIO_Evergreen - 001NYS - 002LK - 003102725_IGotJealousTOF3_V1_AIO_Evergreen - 004WHT - 005US - 006SavvyTraveler - 007DEMO - 00840s - 009FAI - 010V4 - 011YAWO - 012ENG",active,"7-day click",,,1,1,,50000,Daily,0.01,Ongoing,-,-,-,1,10,,,,,0,0,0,,,10,0,100,"usa -  ASC+ - tROAS Ad set",120238316376770007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"J11v1_101325_ RidgeStyleDurabilityTOF1_V1_AIO_Evergreen - 001NYS - 002FA - 003Ridge-Style Durability Carry-On - 004SIL - OTHER - 006SavvyTraveler - 007VO - 00860s - 009FAI - 010V3 - 011YAWO - 012ENG",active,"7-day click or 1-day view",18,actions:offsite_conversion.fb_pixel_purchase,127074,1.032989,230.35944444,"Using campaign budget",0,4146.47,Ongoing,Average,"Above average","Below average - Bottom 35% of ads",131266,31.588302,3267,,1.269198,2.488839,6565,5.001295,0.631602,3321,1.248561,32.63035711,2.15061004,57.708775,"scaling - all - @nobl",120238500782230007,65.90825928,"usa - tof - all",120203688948410007
2026-06-30,2026-07-06,"091525_FoundersTOF1_V1_AIO_Evergreen - 001NYS - 002FA - 0030915_TOF1_V1_AIOCarryOn_Evergreen - 004MULTI - 005AU - 006_FunctionalTraveler - 007VO - 00860s - 009FRE - 010V1 - 011YAMA - 012ENG",active,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,3256,1.145577,211.12,"Using campaign budget",0,211.12,Ongoing,"Below average - Bottom 35% of ads","Above average","Below average - Bottom 35% of ads",3730,56.600536,74,,2.852973,1.983914,91,2.439678,2.32,74,2.852973,64.84029484,3.09965896,39.115282,"scaling - all - @nobl",120238501184100007,47.80451676,"usa - tof - all",120203688948410007
2026-06-30,2026-07-06,"J7v1_102025_LivesUpToTheHypeTOF1_V1_AIO_Evergreen - 001NYS - 002LK - 003102025_LivesUpToTheHypeTOF1_V1_AIO_Evergreen - 004SIL - OTHER - 006SavvyTraveler - 007VO - 00850s - 009FAI - 010V1 - 011YAWO - 012ENG",active,"7-day click or 1-day view",,,2094,1.264565,,"Using campaign budget",0,93.37,Ongoing,Average,"Above average","Below average - Bottom 35% of ads",2648,35.260574,31,,3.011935,1.170695,63,2.379154,1.482063,21,4.44619,44.58930277,0,27.794562,"scaling - all - @nobl",120238521982900007,0,"usa - tof - all",120203688948410007
2026-06-30,2026-07-06,"J7v1_102025_LivesUpToTheHypeTOF1_V1_AIO_Evergreen - 001NYS - 002LK - 003102025_LivesUpToTheHypeTOF1_V1_AIO_Evergreen - 004SIL - OTHER - 006SavvyTraveler - 007VO - 00850s - 009FAI - 010V1 - 011YAWO - 012ENG",active,"7-day click",,,2335,1.262955,,50000,Daily,206.51,Ongoing,Average,-,-,2949,70.027128,45,,4.589111,1.525941,87,2.950153,2.373678,33,6.257879,88.44111349,0,30.58664,"usa -  ASC+ - tROAS Ad set",120238523135250007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"102025_3ReasonsTOF_V1_AIO_Evergreen - 001NYS - 002LK - 003102025_3ReasonsTOF_V1_AIO_Evergreen - 004MULTI - 005US - 006SocialProofTraveler - 007DEMO - 00860s - 009FAI - 010V2 - 011YAWO - 012ENG",active,"7-day click",,,3,1,,50000,Daily,0.14,Ongoing,-,-,-,3,46.666667,,,,,0,0,0,,,46.66666667,0,33.333333,"usa -  ASC+ - tROAS Ad set",120238523135270007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"J11v1_101325_ RidgeStyleDurabilityTOF1_V1_AIO_Evergreen - 001NYS - 002FA - 003Ridge-Style Durability Carry-On - 004SIL - OTHER - 006SavvyTraveler - 007VO - 00860s - 009FAI - 010V3 - 011YAWO - 012ENG",active,"7-day click",,,707,1.011315,,50000,Daily,68.77,Ongoing,-,-,-,715,96.181818,17,,4.045294,2.377622,23,3.216783,2.99,16,4.298125,97.27015559,0,43.216783,"usa -  ASC+ - tROAS Ad set",120238523135280007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"110325_OrganicQuestionsTOF_V1_AIO_Evergreen - 001NYS - 002LK - 003110325_OrganicQuestionsTOF_V1_AIO_Evergreen - 004MULTI - 005US - 006SocialProofTraveler - 007DEMO - 00830s - 009FRE - 010V3 - 011YAWO - 012ENG",active,"7-day click",286,actions:offsite_conversion.fb_pixel_purchase,173000,3.613451,93.46101399,50000,Daily,26729.85,Ongoing,Average,-,-,625127,42.759071,15113,,1.768666,2.417589,16630,2.660259,1.607327,13633,1.960673,154.50780347,5.17390146,0.416715,"tof 2 - all - @best travel finds",120238525671870007,33.48634403,"usa - tof/mof - all",120217110430710007
2026-06-30,2026-07-06,"J11v1_101325_ RidgeStyleDurabilityTOF1_V1_AIO_Evergreen - 001NYS - 002FA - 003Ridge-Style Durability Carry-On - 004SIL - OTHER - 006SavvyTraveler - 007VO - 00860s - 009FAI - 010V3 - 011YAWO - 012ENG",active,"7-day click",32,actions:offsite_conversion.fb_pixel_purchase,63967,1.267044,144.12,50000,Daily,4611.84,Ongoing,"Below average - Bottom 35% of ads",-,-,81049,56.901874,2063,,2.235502,2.545374,3973,4.901973,1.160795,1518,3.038103,72.09717511,3.3940965,41.279966,"usa -  ASC+ - tROAS Ad set",120238535135200007,47.0766919,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"000AIO - 001NYS - 004Multi - 005SA - 008BoF - 006BF - 002TC - Bundle ad v1",inactive,"1-day click",,,0,0,,10000,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,,,"000AIO - 001NYS -  - 004Multi - 005SA - 008BoF - 006BF - 002TC",120238865710420007,,"test - static - all",120238865710410007
2026-06-30,2026-07-06,"000AIO - 001NYS - 004Multi - 005SA - 008BoF - 006BF - 002TC - Bundle ad v3 - NOBL Duo",active,"1-day click",12,actions:offsite_conversion.fb_pixel_purchase,13280,1.338178,126.00333333,10000,Daily,1512.04,Ongoing,-,-,-,17771,85.084689,291,,5.196014,1.637499,358,2.014518,4.223575,349,4.332493,113.85843373,3.62694109,,"000AIO - 001NYS -  - 004Multi - 005SA - 008BoF - 006BF - 002TC",120238866196050007,31.85483031,"test - static - all",120238865710410007
